Measured:	Estimated:			Updated:
[147  41]	[ 147.53118519   41.11011839]	[ 146.95079635   42.07487361]
[147  41]	[ 147.51350707   41.10657505]	[ 146.93405517   42.07151122]
[147  41]	[ 147.49655705   41.10317159]	[ 146.9179963    42.06828032]
[147  41]	[ 147.4802995    41.09990153]	[ 146.9025867    42.06517484]
[148  40]	[ 147.4647008    41.09675872]	[ 146.92110875   42.03050297]
[148  40]	[ 147.48346001   41.06166669]	[ 146.93882264   41.99719947]
[148  40]	[ 147.50139878   41.02796282]	[ 146.95577055   41.96520025]
[148  40]	[ 147.51856001   40.99558194]	[ 146.97199209   41.93444466]
[147  42]	[ 147.53498403   40.9644624 ]	[ 146.95420516   41.9661977 ]
[147  42]	[ 147.51697752   40.99658831]	[ 146.93716373   41.996735  ]
[147  42]	[ 147.49972745   41.02748144]	[ 146.92083042   42.02611184]
[147  42]	[ 147.48319581   41.05719796]	[ 146.90517001   42.05438058]
[148  41]	[ 147.46734678   41.0857911 ]	[ 146.92131817   42.05176961]
[148  41]	[ 147.48368106   41.08314996]	[ 146.93685284   42.0492583 ]
[148  41]	[ 147.49939342   41.08060986]	[ 146.95180183   42.04684212]
[148  41]	[ 147.51451209   41.07816619]	[ 146.96619143   42.04451676]
[148  41]	[ 147.52906381   41.07581457]	[ 146.98004662   42.04227815]
[146  42]	[ 147.54307392   41.07355088]	[ 146.93436541   42.06898927]
[146  42]	[ 147.49688126   41.10055596]	[ 146.89038209   42.09473766]
[146  42]	[ 147.45240917   41.12658567]	[ 146.84802129   42.11956461]
[146  42]	[ 147.40958112   41.15168192]	[ 146.80721151   42.14350934]
[148  41]	[ 147.3683245    41.17588453]	[ 146.8251958    42.13854663]
[148  41]	[ 147.38650307   41.17086852]	[ 146.84253824   42.1337592 ]
[148  41]	[ 147.40403152   41.16603003]	[ 146.85926616   42.12913967]
[148  41]	[ 147.42093759   41.16136159]	[ 146.87540556   42.12468101]
[147  42]	[ 147.43724765   41.15685605]	[ 146.86275055   42.14758963]
[147  42]	[ 147.42445595   41.18000226]	[ 146.85055675   42.16972068]
[147  42]	[ 147.41213139   41.20236129]	[ 146.83880404   42.19110557]
[147  42]	[ 147.40025355   41.22396497]	[ 146.82747331   42.21177421]
[147  42]	[ 147.38880304   41.24484364]	[ 146.81654641   42.23175515]
[148  41]	[ 147.37776145   41.26502627]	[ 146.83325241   42.22474946]
[148  41]	[ 147.39463733   41.25795007]	[ 146.84939598   42.21797539]
[148  41]	[ 147.41094397   41.25110827]	[ 146.86499975   42.21142382]
[148  41]	[ 147.42670429   41.24449162]	[ 146.88008527   42.20508603]
[147  42]	[ 147.44194014   41.2380913 ]	[ 146.86816503   42.22461044]
[147  42]	[ 147.42989947   41.25780643]	[ 146.85664929   42.24350971]
[147  42]	[ 147.41826818   41.27688913]	[ 146.84552161   42.26180766]
[147  42]	[ 147.40702959   41.29536354]	[ 146.83476633   42.27952706]
[147  42]	[ 147.39616783   41.31325273]	[ 146.82436853   42.29668969]
[148  41]	[ 147.38566776   41.33057877]	[ 146.83995483   42.28845043]
[148  41]	[ 147.40140367   41.32226136]	[ 146.85504523   42.28046794]
[148  41]	[ 147.41663799   41.31420363]	[ 146.86965859   42.27273268]
[148  41]	[ 147.43138984   41.30639592]	[ 146.88381292   42.26523554]
[147  41]	[ 147.44567746   41.29882899]	[ 146.87308069   42.25803043]
[147  41]	[ 147.43484664   41.29155762]	[ 146.862671     42.25104217]
